NAME OF DATA ELEMENT,DATA TYPE,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Percentage of degrees awarded in Mathematics And Statistics.,float,PCIP27,,Mathematics and Statistics,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Military Technologies And Applied Sciences.,float,PCIP29,,Military Technologies and Applied Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,float,PCIP30,,Multi/Interdisciplinary Studies,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",float,PCIP31,,"Parks, Recreation, Leisure, and Fitness Studies",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Philosophy And Religious Studies.,float,PCIP38,,Philosophy and Religious Studies,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Theology And Religious Vocations.,float,PCIP39,,Theology and Religious Vocations,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Physical Sciences.,float,PCIP40,,Physical Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Science Technologies/Technicians.,float,PCIP41,,Science Technologies/Technicians,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Psychology.,float,PCIP42,,Psychology,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",float,PCIP43,,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Public Administration And Social Service Professions.,float,PCIP44,,Public Administration and Social Service Professions,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Social Sciences.,float,PCIP45,,Social Sciences,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Construction Trades.,float,PCIP46,,Construction Trades,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,float,PCIP47,,Mechanic and Repair Technologies/Technicians,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Precision Production.,float,PCIP48,,Precision Production,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Transportation And Materials Moving.,float,PCIP49,,Transportation and Materials Moving,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Visual And Performing Arts.,float,PCIP50,,Visual and Performing Arts,IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in Health Professions And Related Programs.,float,PCIP51,,Health Professions and Related Programs,IPEDS,Shown/used on consumer website.
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",float,PCIP52,,"Business, Management, Marketing, and Related Support Services",IPEDS,Shown/used on consumer website.
Percentage of degrees awarded in History.,float,PCIP54,,History,IPEDS,Shown/used on consumer website.
Enrollment of undergraduate certificate/degree-seeking students,integer,UGDS,,,IPEDS,Shown/used on consumer website;    Not available in 2000-2001
Total share of enrollment of undergraduate degree-seeking students who are white,float,UGDS_WHITE,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are black,float,UGDS_BLACK,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,float,UGDS_HISP,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are Asian,float,UGDS_ASIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,float,UGDS_AIAN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,float,UGDS_NHPI,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are two or more races,float,UGDS_2MOR,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,float,UGDS_NRA,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,float,UGDS_UNKN,,,IPEDS,Shown/used on consumer website;    Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic,float,UGDS_WHITENH,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time. 
Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic,float,UGDS_BLACKNH,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander,float,UGDS_API,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time.
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,float,UGDS_AIANOLD,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time. 
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,float,UGDS_HISPOLD,,,IPEDS,Not available in all datafiles due to changing race/ethnicity category definitions over time.
Average net price for Title IV institutions (public institutions),integer,NPT4_PUB,,,IPEDS,"Shown/used on consumer website;    The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions. For public institutions, this metric is limited to full-time, first-time, degree/certificate-seeking undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. The total cost of attendance depends on whether full-time, first-time, degree/certificate-seeking undergraduates live on campus, off campus (not with family), or off campus (with family). For academic-year institutions, net price represents an average of all programs and includes only full-time, first-time, degree/certificate-seeking undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution and it includes full-time, first-time, degree/certificate-seeking undergraduates who first enrolled at any time during the academic year. For programs less than 1 year in length (see LProgram), this represents the net price for the full program. This metric is not available prior to the 2009-10 academic year."
Average net price for Title IV institutions (private for-profit and nonprofit institutions),integer,NPT4_PRIV,,,IPEDS,Shown/used on consumer website;
In-state tuition and fees,integer,TUITIONFEE_IN,,,IPEDS,
Out-of-state tuition and fees,integer,TUITIONFEE_OUT,,,IPEDS,
Average faculty salary,integer,AVGFACSAL,,,IPEDS,"Average faculty salary per month, calculated from the IPEDS Human Resources component. This metric is calculated as the total salary outlays divided by the number of months worked for all full-time nonmedical instructional staff. Prior to the 2011-12 academic year, when months worked were reported in groups, the value for 9-10 months is estimated as 9.5 months and the value for 11-12 months is estimated as 11.5 months. Values prior to the 2003-04 academic year are limited to degree-granting institutions for consistency with values in subsequent academic years."
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",float,C150_4,,,IPEDS,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate at the institution within 150 percent of normal time, calculated from the IPEDS Graduation Rates component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. This metric is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates who completed a degree or certificate divided by the number of full-time, first-time, degree/certificate-seeking undergraduates in the corresponding completion rate cohort (D150_4, D150_L4). For full-time, first-time, bachelor's degree-seeking undergraduates, 150 percent of normal time is typically 6 years, and for full-time, first-time, associate's degree-seeking undergraduates it is typically 3 years. For full-time, first-time, certificate-seeking undergraduates, the normal time period varies by the length of the program (for example, 9 months for a certificate with a normal completion time of 6 months). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. Pooled figures include two cohorts of students."
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",float,C150_L4,,,IPEDS,
Number of students in the cumulative loan debt cohort,integer,CUML_DEBT_N,,,NSLDS,
Cumulative loan debt at the 90th percentile,integer,CUML_DEBT_P90,,,NSLDS,
Cumulative loan debt at the 75th percentile,integer,CUML_DEBT_P75,,,NSLDS,
Cumulative loan debt at the 25th percentile,integer,CUML_DEBT_P25,,,NSLDS,
Cumulative loan debt at the 10th percentile,integer,CUML_DEBT_P10,,,NSLDS,
Total share of enrollment of undergraduate degree-seeking students who are men,float,UGDS_MEN,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are women,float,UGDS_WOMEN,,,IPEDS,
