Variable Name,Variable Description,Source,Notes,Varies by Grade?,Varies by Year?
incrat5010blk,50/10 income ratio (Black),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
inc50hsp,income at 50th percentile (Hispanic),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
incrat9010hsp,90/10 income ratio (Hispanic),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
incrat9050hsp,90/50 income ratio (Hispanic),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
incrat5010hsp,50/10 income ratio (Hispanic),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
inc50wht,income at 50th percentile (White),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
incrat9010wht,90/10 income ratio (White),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
incrat9050wht,90/50 income ratio (White),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
incrat5010wht,50/10 income ratio (White),SDDS/ACS,percentiles computed by interpolating over counts of people in each of 16 income categories,no,no
giniall,Gini Coefficient (all),SDDS/ACS,computed using counts of people in each of 16 income categories; using the rpme -- Robust Pareto midpoint estimator-- implemented in Stata by von Hippel and Powers,no,no
giniwht,Gini Coefficient (White),SDDS/ACS,computed using counts of people in each of 16 income categories; using the rpme -- Robust Pareto midpoint estimator-- implemented in Stata by von Hippel and Powers,no,no
giniblk,Gini Coefficient (Black),SDDS/ACS,computed using counts of people in each of 16 income categories; using the rpme -- Robust Pareto midpoint estimator-- implemented in Stata by von Hippel and Powers,no,no
ginihsp,Gini Coefficient (Hispanic),SDDS/ACS,computed using counts of people in each of 16 income categories; using the rpme -- Robust Pareto midpoint estimator-- implemented in Stata by von Hippel and Powers,no,no
paredVblkwht,vgap for parent education (Black-White),,,,
paredVhspwht,vgap for parent education (Hispanic-White),,,,
incVblkwht,vgap for income (Black-White),,,,
incVhspwht,vgap for income (Hispanic-White),,,,
baplus_mal,Percent of Males with BA or Higher,ACS,0,no,no
baplus_fem,Percent of Females with BA or Higher,ACS,0,no,no
pov_mal,Percent of Males in Poverty,ACS,0,no,no
pov_fem,Percent of Females in Poverty,ACS,0,no,no
occbus_mal,Percent of Males in Management,,,,
occbus_fem,Percent of Females in in Management,,,,
occsci_mal,Percent of Males in Computer,,,,
occsci_fem,Percent of Females in Computer,,,,
occeduc_mal,Percent of Males in Education,,,,
occeduc_fem,Percent of Females in Education,,,,
occhealth_mal,Percent of Males in Health Practitioners and Technical Occs,ACS,0,no,no
occhealth_fem,Percent of Females in Health Practitioners and Technical Occs,ACS,0,no,no
occserv_mal,Percent of Males in Service Occs,ACS,0,no,no
occserv_fem,Percent of Females in Service Occs,ACS,0,no,no
occsales_mal,Percent of Males in Sales Occs,ACS,0,no,no
occsales_fem,Percent of Females in Sales Occs,ACS,0,no,no
occtrade_mal,Percent of Males in Natural Resources,,,,
occtrade_fem,Percent of Females in Natural Resources,,,,
teenbirth_all,Percent of 15-19 year olds giving birth,ACS,0,no,no
incVmalfem,vgap for income (Male-Female),,,,
educVmalfem,vgap for education (Male-Female),,,,
inlf_mal,Percent of 25-64 Year Old Males in Labor Force,ACS,0,no,no
inlf_fem,Percent of 25-64 Year Old Females in Labor Force,ACS,0,no,no
unemp_mal,Percent of 25-64 Year Old Males in Labor force & Unemployed,ACS,0,no,no
unemp_fem,Percent of 25-64 Year Old Females in Labor force & Unemployed,ACS,0,no,no
